gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
YKR040C	-0.003447815	0.000465392	0.008145781	0.000425733	-0.004542197	-0.002353432	up
RPS23B	-0.003424932	0.287547551	0.191569781	0.002878656	-0.010824753	0.003974888	down
YJL169W	-0.003419456	0.448212153	0.25515627	0.004157257	-0.014106024	0.007267113	up
YKR045C	-0.003417141	0.000476162	0.008145781	0.000424007	-0.004507085	-0.002327196	up
AAD6	-0.003413864	0.545802151	0.288064902	0.005271597	-0.016964935	0.010137207	up
RAD61	-0.003404981	0.042964131	0.06026909	0.001262748	-0.006650978	-0.000158985	down
RPA34	-0.003402148	0.007535943	0.024885186	0.000786651	-0.005424298	-0.001379998	down
ENT3	-0.003373563	0.003887716	0.01817309	0.000666222	-0.005086142	-0.001660984	up
NOP12	-0.003372706	0.281520421	0.188759809	0.00279499	-0.010557456	0.003812045	up
RPA34	-0.003365029	0.006520131	0.023410783	0.000751162	-0.005295953	-0.001434105	up
FLC3	-0.003328343	0.555625997	0.29090594	0.005272911	-0.016882791	0.010226106	up
MID1	-0.003328155	0.003919502	0.018248529	0.000658502	-0.005020889	-0.001635422	down
DIG1	-0.003323563	0.002977659	0.016239885	0.000617162	-0.004910028	-0.001737098	down
LIP1	-0.0033137	0.049895606	0.06582892	0.001288222	-0.00662518	-2.22E-06	up
IGO2	-0.003281907	0.006324293	0.023146947	0.000727236	-0.005151325	-0.001412488	down
VCX1	-0.003252793	0.22656657	0.165419199	0.00235985	-0.009318981	0.002813395	down
YAR037W_d	-0.003250754	0.003048029	0.016291492	0.000606881	-0.004810793	-0.001690715	up
SKY1	-0.003246037	0.00011295	0.006073812	0.000297816	-0.004011597	-0.002480476	up
AKL1	-0.003202647	0.006137771	0.022988219	0.000704577	-0.005013818	-0.001391475	down
YPL136W	-0.003179453	0.256275855	0.178755202	0.002481327	-0.009557907	0.003199002	down
YPR117W	-0.003170003	0.004536415	0.019462919	0.000649034	-0.004838397	-0.001501609	up
MID1	-0.003138018	0.002653035	0.015866255	0.000567553	-0.004596961	-0.001679076	up
YPR117W	-0.00313379	0.000354087	0.007280169	0.000365148	-0.004072431	-0.002195148	down
YDL034W	-0.003099032	0.001599757	0.013613764	0.000500286	-0.004385059	-0.001813005	down
PIL1	-0.003047064	0.00027491	0.006263801	0.000336583	-0.003912277	-0.002181851	up
MNT3	-0.00304536	0.001427891	0.013274089	0.000479401	-0.004277699	-0.001813021	down
YHL037C	-0.003024895	0.006966905	0.023932527	0.000686165	-0.004788737	-0.001261053	up
YAR023C	-0.003015929	0.003573427	0.017597105	0.000584055	-0.004517291	-0.001514568	up
SSN8	-0.003010832	0.03361011	0.05257122	0.001036573	-0.005675426	-0.000346237	up
