gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
FMP30	-0.000143618	0.413638883	0.242785594	0.000161148	-0.000557861	0.000270626	down
YNL108C	-0.000143334	0.772206485	0.354371566	0.000468991	-0.001348913	0.001062244	down
WSC3	-0.000142743	0.758059272	0.350276106	0.00043868	-0.001270405	0.000984919	up
DOT1	-0.000142181	0.706513738	0.335823645	0.000356537	-0.001058688	0.000774326	down
FRT1	-0.000141989	0.546355926	0.288263764	0.00021957	-0.000706411	0.000422434	up
YCL062W_d	-0.000141924	0.635650882	0.314035438	0.000281571	-0.000865725	0.000581877	down
YIR035C	-0.000141822	0.60467633	0.305317155	0.000256897	-0.000802197	0.000518553	up
YIP3	-0.000141809	0.584723946	0.299955517	0.000242923	-0.000766263	0.000482646	down
SRX1	-0.000140112	0.732289921	0.343039523	0.000387267	-0.001135613	0.000855388	up
YDL089W	-0.000140101	0.405362501	0.239388585	0.000154242	-0.000536592	0.000256391	up
YFL063W	-0.000139579	0.688468846	0.330650043	0.000328379	-0.000983703	0.000704545	up
RPL29	-0.000139423	0.663474626	0.322383886	0.00030177	-0.000915149	0.000636302	down
PDR1	-0.00013809	0.583998876	0.299849249	0.000236082	-0.000744957	0.000468778	down
GDS1	-0.00013742	0.845153264	0.37501692	0.000668126	-0.001854892	0.001580052	up
YNL203C	-0.000137091	0.648767923	0.318091192	0.000283181	-0.000865031	0.00059085	down
YDR391C	-0.000136875	0.595539728	0.302590731	0.000241618	-0.000757974	0.000484224	up
YPL014W	-0.000136862	0.684992795	0.329317502	0.00031817	-0.000954743	0.000681019	up
YMR007W	-0.000136379	0.765064511	0.352184234	0.000432145	-0.001247243	0.000974486	up
MRC1_p	-0.000135363	0.701688088	0.33394098	0.000333589	-0.000992882	0.000722156	up
YBL044W	-0.000133804	0.373504444	0.227324031	0.000136974	-0.000485908	0.0002183	down
DER1	-0.000133764	0.117059109	0.107962146	7.07E-05	-0.000315505	4.80E-05	down
MNR2	-0.000133559	0.800869905	0.363088863	0.000502128	-0.001424321	0.001157203	up
DIT1	-0.000133533	0.728216183	0.341813339	0.000363252	-0.001067303	0.000800237	up
KKQ8	-0.000132996	0.556157489	0.291076003	0.000210993	-0.000675372	0.000409379	up
YDR520C	-0.000132405	0.7636129	0.352033792	0.000416872	-0.001204009	0.0009392	up
YMR193C-A	-0.000132299	0.734309776	0.343471626	0.000368597	-0.001079807	0.00081521	up
PRM5	-0.000132024	0.749985819	0.348202082	0.000392063	-0.001139854	0.000875806	up
PSY1	-0.000131193	0.835059733	0.372449098	0.000598133	-0.001668744	0.001406358	up
YLR004C	-0.000131062	0.859394211	0.37829676	0.0007028	-0.001937668	0.001675544	up
YNL285W	-0.000130884	0.701177921	0.333907206	0.000321965	-0.000958522	0.000696753	up
NAS6	-0.000130482	0.573729646	0.296618566	0.000216924	-0.000688103	0.000427139	down
AGP3	-0.000130378	0.752371531	0.348964606	0.000391075	-0.001135669	0.000874913	down
BCK2	-0.000129957	0.75229295	0.348964606	0.000389683	-0.001131669	0.000871756	down
YPT53	-0.000129846	0.710179877	0.336658051	0.000329988	-0.000978107	0.000718416	down
SDS23	-0.000129298	0.601684606	0.304329456	0.000232229	-0.000726261	0.000467665	down
SOL4	-0.000129219	0.764530178	0.352053333	0.000408491	-0.001179278	0.000920841	down
BFA1	-0.000129034	0.768162786	0.353091135	0.000414556	-0.001194684	0.000936616	up
PDE1	-0.000128795	0.558579098	0.291747113	0.000205635	-0.000657398	0.000399807	down
YCL045C	-0.000128763	0.736111215	0.343857443	0.000361323	-0.001057573	0.000800047	down
SSP1	-0.000128139	0.666863978	0.32336141	0.000280413	-0.000848964	0.000592686	down
JLP2	-0.000128133	0.895420905	0.387631148	0.000926664	-0.002510199	0.002253933	up
PTK1_p	-0.000127668	0.734825329	0.343541632	0.000356422	-0.00104388	0.000788545	up
ENT4	-0.000127502	0.791768525	0.360238177	0.000457795	-0.001304301	0.001049296	up
INP51	-0.000127269	0.538368649	0.285459897	0.000192797	-0.000622871	0.000368332	up
PGU1	-0.000127148	0.56569196	0.294125251	0.000206871	-0.000658927	0.000404631	up
PDR3	-0.000126995	0.700583721	0.333906496	0.000311735	-0.000928336	0.000674346	up
YIL059C	-0.000125427	0.757752073	0.350212207	0.000384954	-0.001114984	0.000864129	down
YSN1	-0.000125307	0.249306053	0.175743695	9.62E-05	-0.000372488	0.000121874	down
INP54	-0.000124928	0.724915722	0.341088187	0.000335541	-0.000987464	0.000737608	up
MBF1	-0.000124675	0.29751209	0.196014914	0.000107251	-0.000400373	0.000151023	down
CUE4	-0.000124564	0.657497944	0.320752409	0.000264487	-0.000804449	0.000555322	up
APA2	-0.000123772	0.742177576	0.345716548	0.000355905	-0.001038656	0.000791112	up
IRR1	-0.000123687	0.893428856	0.387288733	0.000877661	-0.002379786	0.002132413	down
DAK2	-0.000123121	0.754491869	0.349660179	0.00037264	-0.001081022	0.00083478	up
FBP26	-0.00012265	0.884761377	0.385190071	0.000804306	-0.002190184	0.001944883	down
YJL132W	-0.000122163	0.363842054	0.223627424	0.000122337	-0.00043664	0.000192314	down
CTL1	-0.000121793	0.858485457	0.378142043	0.000648844	-0.001789698	0.001546112	up
PTC7	-0.000121521	0.55001071	0.289256339	0.000189711	-0.000609189	0.000366148	down
TDH2	-0.000120843	0.943863733	0.400942947	0.001632547	-0.004317438	0.004075752	up
CRH1	-0.000119435	0.698325318	0.333450838	0.000290834	-0.000867046	0.000628177	up
YHP1	-0.000119287	0.956894626	0.404162212	0.002099643	-0.005516591	0.005278017	down
ASR1	-0.000119201	0.599924473	0.303711869	0.00021303	-0.000666813	0.000428411	up
YKR105C	-0.00011894	0.607026957	0.305889088	0.0002169	-0.000676499	0.000438619	up
LYS21	-0.000118623	0.528345287	0.282075494	0.000175169	-0.000568909	0.000331664	down
CWC27	-0.000118407	0.255436171	0.178537585	9.22E-05	-0.000355469	0.000118655	down
YHR048W	-0.000118133	0.590855404	0.301668897	0.000205825	-0.000647222	0.000410957	down
YHR139C-A	-0.000117651	0.629581698	0.311998121	0.000229186	-0.000706792	0.00047149	down
MBF1	-0.000117274	0.7489305	0.347826783	0.000346729	-0.00100857	0.000774022	up
LDB17	-0.000117205	0.692969116	0.332056498	0.000280078	-0.000837167	0.000602758	down
FLC2	-0.000116805	0.790073546	0.35964127	0.000415891	-0.001185888	0.000952278	up
YMR144W	-0.000116479	0.747306918	0.347359851	0.000342063	-0.000995781	0.000762823	up
ERV41	-0.000116147	0.383419274	0.230425901	0.000121615	-0.000428768	0.000196475	down
VTS1	-0.000116092	0.664340681	0.322637736	0.000251977	-0.000763821	0.000531636	down
YOL036W	-0.000115535	0.826135832	0.370525692	0.000499169	-0.00139869	0.001167621	down
LTP1	-0.000114742	0.609740537	0.306232565	0.00021088	-0.000656825	0.000427341	down
SLH1	-0.000114033	0.695801961	0.332810026	0.000275217	-0.000821502	0.000593435	up
AYT1	-0.00011362	0.697288081	0.333351037	0.000275661	-0.000822229	0.000594989	down
POT1	-0.000113197	0.764424028	0.352053333	0.000357675	-0.00103263	0.000806236	up
KTR7	-0.000113012	0.747635507	0.347454501	0.000332335	-0.000967307	0.000741283	up
GYP6	-0.000112996	0.60971939	0.306232565	0.000207658	-0.000646798	0.000420806	down
CIT2	-0.000112304	0.692538615	0.33203849	0.000267964	-0.000801127	0.00057652	down
ECM29	-0.00011196	0.891213821	0.386862333	0.000778146	-0.002112248	0.001888327	up
MGS1	-0.000111457	0.922571049	0.395445563	0.001090593	-0.002914917	0.002692002	up
GMH1	-0.00011115	0.418716062	0.244745662	0.000126184	-0.000435516	0.000213216	down
RNH70	-0.000110533	0.588921472	0.300959929	0.000191553	-0.000602934	0.000381869	up
GCY1	-0.000109708	0.765660826	0.35228602	0.000348553	-0.001005692	0.000786277	up
YIR044C	-0.000109678	0.627796857	0.311981807	0.000212518	-0.000655972	0.000436616	down
RDH54	-0.000109637	0.951323961	0.402533645	0.001708633	-0.004501818	0.004282544	up
ADY3	-0.000109629	0.527667129	0.281820267	0.000161611	-0.000525065	0.000305806	down
FRM2	-0.000109373	0.76419681	0.352053333	0.000345245	-0.000996852	0.000778107	down
YDR109C	-0.000107823	0.480232545	0.266385879	0.00014143	-0.000471379	0.000255733	down
YPR126C	-0.000107507	0.614055429	0.307175685	0.000200061	-0.000621779	0.000406765	down
MSN1	-0.000107152	0.579231541	0.298329765	0.000180817	-0.000571957	0.000357653	down
RAD23	-0.000106152	0.875179422	0.382910714	0.00064216	-0.001756877	0.001544572	up
YAP7	-0.000105304	0.965607758	0.406379909	0.002323641	-0.006078412	0.005867805	up
YFR006W	-0.000104797	0.858479984	0.378142043	0.000558279	-0.001539899	0.001330304	up
LRG1	-0.000104262	0.3625917	0.22304861	0.000104114	-0.000371896	0.000163371	down
RPL31B	-0.000104085	0.667018773	0.323380801	0.00022789	-0.000689894	0.000481724	down
AUA1	-0.000104059	0.798194441	0.362284067	0.000385884	-0.001096005	0.000887888	up
FPR3	-0.000103877	0.597839888	0.303201482	0.000184556	-0.000578292	0.000370539	down
TMA22	-0.000103857	0.737155398	0.344173979	0.000292651	-0.000856141	0.000648427	down
SET5	-0.000102751	0.75563939	0.349860576	0.000312512	-0.000906089	0.000700587	down
YJL067W	-0.000102142	0.623206444	0.310147162	0.000195238	-0.000604016	0.000399732	down
YMR144W	-0.000101904	0.230468338	0.167529723	7.47E-05	-0.000293813	9.00E-05	down
PAN6	-0.000101874	0.120968062	0.109958308	5.46E-05	-0.000242184	3.84E-05	down
YKR077W	-0.000101852	0.5491346	0.289119467	0.000158644	-0.00050966	0.000305955	down
AAH1	-9.97E-05	0.457021201	0.258359766	0.00012369	-0.000417607	0.000218301	down
WTM1	-9.96E-05	0.80864831	0.365673644	0.000389947	-0.001101951	0.000902831	up
RUD3	-9.91E-05	0.795625943	0.361467748	0.000362824	-0.001031793	0.000833547	down
OAC1	-9.87E-05	0.785280322	0.358734794	0.000343492	-0.000981719	0.000784227	down
YIM1	-9.80E-05	0.629727511	0.312014305	0.000190956	-0.00058885	0.000392884	down
YJR038C	-9.72E-05	0.774293286	0.355219091	0.000321117	-0.000922666	0.000728249	up
MCR1	-9.66E-05	0.85714985	0.378104742	0.000509693	-0.001406797	0.001213618	down
OSW2	-9.59E-05	0.709290071	0.336405326	0.000243014	-0.000720621	0.000528752	up
HSP26	-9.54E-05	0.692335825	0.33203849	0.00022738	-0.000679861	0.000489137	up
YOR263C	-9.49E-05	0.709259514	0.336405326	0.000240382	-0.000712827	0.000523015	down
PDC6	-9.48E-05	0.756168343	0.349884151	0.000289099	-0.00083799	0.000648314	up
YKL202W	-9.42E-05	0.463455316	0.260620842	0.000118704	-0.000399331	0.000210945	down
YDR209C	-9.38E-05	0.60745059	0.305889088	0.000171189	-0.000533815	0.000346295	down
YMR084W	-9.34E-05	0.606935263	0.305889088	0.000170335	-0.00053129	0.00034443	up
HSC82	-9.33E-05	0.834193856	0.372321875	0.000423227	-0.001181267	0.000994613	up
TMA19	-9.30E-05	0.899756117	0.388871458	0.000701517	-0.001896259	0.001710357	up
FBP26	-9.24E-05	0.892155249	0.387032415	0.000647692	-0.001757322	0.001572567	up
DBP3	-9.22E-05	0.692470011	0.33203849	0.000220031	-0.000657846	0.000473372	up
YDR015C	-9.21E-05	0.911365272	0.392284811	0.00078646	-0.002113728	0.001929593	down
YHR095W	-9.08E-05	0.818576969	0.368801653	0.000375758	-0.001056755	0.000875078	up
YOR097C	-9.03E-05	0.741420723	0.345444677	0.000258971	-0.000756046	0.000575368	up
RIS1	-9.02E-05	0.986616203	0.410714899	0.00511603	-0.013241366	0.013060979	down
ALK1	-8.98E-05	0.769596	0.3534039	0.000290231	-0.000835819	0.000656306	up
MSB4	-8.94E-05	0.755774037	0.349860576	0.000271958	-0.000788456	0.000609725	up
YCL022C	-8.93E-05	0.885557152	0.38541658	0.000589523	-0.001604688	0.001426146	down
YOR225W	-8.92E-05	0.489850708	0.269597441	0.000119813	-0.000397237	0.000218743	down
RAD9	-8.90E-05	0.560713123	0.292482084	0.000142834	-0.000456124	0.000278208	down
HSP104	-8.90E-05	0.471057248	0.263005498	0.000114144	-0.000382369	0.000204463	up
FRE3	-8.83E-05	0.855733972	0.377780622	0.000461333	-0.001274199	0.001097591	up
HSP12	-8.81E-05	0.652542339	0.319219448	0.000184213	-0.000561664	0.000385404	down
PIN3	-8.73E-05	0.50246276	0.273750455	0.000120826	-0.000397868	0.00022332	down
MSH4	-8.73E-05	0.802475625	0.363641258	0.000330818	-0.000937657	0.000763131	up
CTM1	-8.72E-05	0.692837622	0.332056498	0.000208381	-0.000622903	0.000448419	up
RLF2	-8.70E-05	0.872764541	0.382151747	0.000516041	-0.0014135	0.001239553	up
KIN1	-8.69E-05	0.820496344	0.369135624	0.000363408	-0.001021073	0.000847269	up
YOR214C	-8.62E-05	0.867637484	0.380676077	0.000491405	-0.001349395	0.001176997	down
STE4	-8.52E-05	0.792500608	0.360454815	0.000307027	-0.00087444	0.000704037	down
MDM1	-8.45E-05	0.410849751	0.241702529	9.42E-05	-0.000326711	0.00015769	down
YGR042W	-8.44E-05	0.368964405	0.225658216	8.55E-05	-0.000304314	0.000135458	down
PHB1	-8.43E-05	0.79674814	0.3617442	0.000310362	-0.000882123	0.000713501	down
YKL023W	-8.43E-05	0.715869783	0.338443236	0.000218824	-0.000646817	0.000478196	down
YLR123C	-8.41E-05	0.766348129	0.352487099	0.000268056	-0.000773174	0.000604947	up
YMR086C-A	-8.40E-05	0.756341511	0.349884151	0.000256278	-0.000742793	0.000574776	up
SPS100	-8.36E-05	0.805227	0.364477594	0.00032152	-0.000910091	0.000742897	up
VIP1	-8.24E-05	0.867879843	0.38072311	0.000470595	-0.001292098	0.001127307	up
SLM2	-8.22E-05	0.745853009	0.346937736	0.000239922	-0.000698928	0.000534548	down
IML2	-8.10E-05	0.757008294	0.350117964	0.000247807	-0.000718008	0.000556008	up
YLL044W	-8.07E-05	0.824623374	0.370341088	0.000345807	-0.000969675	0.000808175	up
DPB4	-8.02E-05	0.837085836	0.372960828	0.000370187	-0.001031776	0.000871417	up
KIN4	-7.91E-05	0.828099133	0.370789956	0.00034581	-0.000968048	0.000809816	up
PTC2	-7.89E-05	0.789660995	0.359569692	0.00028038	-0.000799646	0.000641835	up
PRM6	-7.85E-05	0.561852167	0.292913508	0.000126344	-0.00040323	0.000246327	down
RPS10B	-7.77E-05	0.943564164	0.400876148	0.001044097	-0.002761636	0.002606239	down
CAR1	-7.74E-05	0.931659919	0.39824287	0.000858445	-0.002284102	0.002129306	up
YDR401W	-7.67E-05	0.849039997	0.376083664	0.000382845	-0.001060869	0.0009074	down
BUD3_p	-7.67E-05	0.808785102	0.365676796	0.000300721	-0.000849751	0.000696305	up
FKH1	-7.66E-05	0.769556237	0.3534039	0.000247762	-0.000713529	0.000560256	down
YLL055W	-7.63E-05	0.726664197	0.341369288	0.000206422	-0.000606962	0.000454285	up
YIL057C	-7.57E-05	0.729601269	0.342064468	0.00020711	-0.000608119	0.000456669	down
ASI3	-7.39E-05	0.576197202	0.297201691	0.000123693	-0.000391871	0.000244055	up
YDR128W	-7.35E-05	0.728731203	0.34194112	0.000200293	-0.00058835	0.000441388	up
RPL7A	-7.33E-05	0.856157634	0.37787594	0.000383987	-0.001060351	0.000913791	up
TPA1	-7.29E-05	0.819222896	0.368915647	0.000302459	-0.000850349	0.000704644	up
BUD27	-7.27E-05	0.878877427	0.383932671	0.000453581	-0.001238701	0.001093232	down
GUP2	-7.27E-05	0.383413378	0.230425901	7.61E-05	-0.0002683	0.000122942	down
RPL2A	-7.26E-05	0.88772905	0.385884855	0.000488657	-0.001328712	0.001183552	up
YLR255C	-7.25E-05	0.755110118	0.34979185	0.000220133	-0.000638411	0.000493329	down
YMR099C	-7.24E-05	0.757796653	0.350212207	0.000222369	-0.000644057	0.000499179	up
SPT23	-7.18E-05	0.673430881	0.325425274	0.000160574	-0.000484579	0.000340958	down
JEN1	-7.13E-05	0.850852863	0.376655964	0.000360051	-0.000996827	0.000854256	up
FLO1	-7.10E-05	0.736580105	0.343962391	0.000199698	-0.000584373	0.000442308	down
MCX1	-7.09E-05	0.78008154	0.357262288	0.000240517	-0.000689144	0.000547393	down
YLR123C	-7.05E-05	0.775848986	0.355736386	0.000234609	-0.000673596	0.000532569	down
YBP2	-7.02E-05	0.675571218	0.326250455	0.000158014	-0.000476353	0.000336023	down
OPT2	-7.01E-05	0.678066315	0.326880182	0.000159282	-0.000479589	0.000339308	down
RPL22B_p	-6.99E-05	0.869963093	0.381266002	0.000405961	-0.001113501	0.000973611	up
FRT2	-6.98E-05	0.893433561	0.387288733	0.000495186	-0.001342699	0.001203134	up
YLR111W	-6.95E-05	0.905144581	0.390402469	0.000554384	-0.001494571	0.001355608	down
HMT1	-6.83E-05	0.851739209	0.376798389	0.000347257	-0.000960989	0.000824314	up
DAL3	-6.77E-05	0.818955253	0.368913078	0.000280487	-0.000788676	0.000653351	up
YNL198C	-6.73E-05	0.763872723	0.352053333	0.000212175	-0.000612726	0.000478101	up
BSC1	-6.72E-05	0.831329052	0.371684125	0.000299459	-0.000836981	0.000702585	up
ROG3	-6.60E-05	0.88739282	0.385884855	0.000443195	-0.001205296	0.001073243	up
YNL295W	-6.45E-05	0.925480326	0.396361676	0.000656369	-0.0017518	0.001622701	down
MRS4	-6.45E-05	0.833968189	0.372299455	0.000292121	-0.000815425	0.000686414	up
SNO1	-6.44E-05	0.866359587	0.38047098	0.00036367	-0.000999259	0.000870427	down
FEN2	-6.40E-05	0.91723461	0.393968345	0.000585952	-0.001570267	0.001442207	down
YJL084C	-6.34E-05	0.905177256	0.390402469	0.000505755	-0.001363451	0.001236721	up
YCR007C	-6.33E-05	0.924782428	0.396183258	0.000637312	-0.001701529	0.001574999	up
NIF3	-6.29E-05	0.613541458	0.30710299	0.000116967	-0.000363622	0.000237725	down
FMP32	-6.27E-05	0.901138513	0.389250929	0.0004796	-0.001295517	0.001170188	up
SNQ2	-6.24E-05	0.861491634	0.378785745	0.000339765	-0.000935796	0.000810989	up
CTF19	-6.23E-05	0.811405479	0.366375503	0.000247585	-0.000698716	0.000574159	up
CSI2	-6.21E-05	0.885197754	0.385319698	0.000409029	-0.001113577	0.000989307	down
CNA1	-6.17E-05	0.878693879	0.383932671	0.000384098	-0.001049043	0.000925669	up
NCL1	-6.17E-05	0.906121187	0.390648024	0.000497144	-0.001339612	0.001216287	up
MDM1	-6.09E-05	0.719347924	0.339215735	0.000160245	-0.000472863	0.000350983	up
TOS3	-6.06E-05	0.986319104	0.41070285	0.003361167	-0.008700726	0.008579583	down
GLG2	-5.98E-05	0.905063607	0.390402469	0.00047655	-0.001284788	0.001165232	down
HXT8	-5.94E-05	0.899285405	0.388871458	0.000446502	-0.00120721	0.001088328	down
YPL035C	-5.92E-05	0.806463248	0.364919888	0.000229321	-0.000648723	0.000530252	up
STE5	-5.89E-05	0.832367379	0.371921388	0.000264157	-0.000737942	0.000620134	up
RPS28A	-5.86E-05	0.72946252	0.342056351	0.000160316	-0.000470754	0.000353459	down
YNR066C	-5.86E-05	0.839616051	0.373546867	0.000275057	-0.000765689	0.000648423	up
RPL7B	-5.86E-05	0.82098256	0.369235821	0.000245751	-0.000690326	0.000573118	down
CLB4	-5.83E-05	0.883782182	0.385101822	0.000379004	-0.001032553	0.000915971	up
YOR114W	-5.77E-05	0.559371661	0.292080276	9.23E-05	-0.00029483	0.0001795	down
WSS1	-5.76E-05	0.842859721	0.374312039	0.000276122	-0.000767444	0.000652147	down
IRC15	-5.71E-05	0.694358084	0.332288679	0.000137043	-0.00040935	0.000295209	up
BSC2	-5.71E-05	0.707195702	0.335921056	0.00014345	-0.000425813	0.000311685	down
YGR290W	-5.65E-05	0.916834053	0.393916432	0.000514939	-0.001380236	0.001267149	down
YCR076C	-5.62E-05	0.815681501	0.367614728	0.000228572	-0.000643725	0.000531404	up
YDR119W	-5.59E-05	0.92115825	0.395051222	0.000537253	-0.001436966	0.00132514	down
RDS1	-5.56E-05	0.849426541	0.376083664	0.000278005	-0.000770211	0.000659059	up
YJL068C	-5.50E-05	0.825844979	0.370525692	0.000237061	-0.000664348	0.000554423	down
UPF3	-5.49E-05	0.744722167	0.346557989	0.000159441	-0.000464731	0.000354982	down
YML096W	-5.49E-05	0.761536316	0.351363996	0.000171167	-0.000494861	0.000385136	down
YIL064W	-5.45E-05	0.901723079	0.389384011	0.000419774	-0.001133585	0.001024543	up
WWM1	-5.41E-05	0.922639309	0.395445563	0.000530087	-0.001416759	0.001308507	up
PSY1	-5.39E-05	0.814183384	0.367145446	0.000217504	-0.000612999	0.000505227	down
YLR374C	-5.37E-05	0.920218446	0.39480977	0.000509883	-0.001364395	0.001256996	down
YKE4	-5.32E-05	0.91720116	0.393968345	0.000486731	-0.00130439	0.001197972	down
PPH22	-5.22E-05	0.946875387	0.401374844	0.000745947	-0.001969765	0.00186527	down
CMK1	-5.22E-05	0.893989177	0.387290553	0.000372579	-0.001009974	0.000905517	up
MON2	-4.94E-05	0.954463489	0.40348579	0.000823336	-0.00216587	0.002067033	up
YOL114C	-4.82E-05	0.959853021	0.4047901	0.000910762	-0.002389377	0.002293001	up
LSB3_p	-4.81E-05	0.95288344	0.402944004	0.000775124	-0.002040662	0.001944379	up
YPR158W	-4.79E-05	0.831128089	0.371684125	0.000213036	-0.00059549	0.000499764	up
TOF1	-4.73E-05	0.881820794	0.384860803	0.000302664	-0.000825365	0.000730679	up
PUS9	-4.73E-05	0.757095537	0.350117964	0.000144767	-0.000419437	0.000324833	up
MET32	-4.70E-05	0.924208848	0.396058006	0.000469999	-0.001255183	0.001161157	up
TEF4	-4.57E-05	0.89304881	0.387288733	0.000322955	-0.000875859	0.000784506	up
YER121W	-4.55E-05	0.860827286	0.378690866	0.000246723	-0.000679758	0.000588688	up
YDL134C-A_d	-4.50E-05	0.735608	0.343736387	0.000125938	-0.000368703	0.000278764	down
ELP2	-4.45E-05	0.932774186	0.39844726	0.000502217	-0.00133553	0.001246451	up
LYS4	-4.45E-05	0.821861768	0.369572235	0.000187392	-0.00052617	0.000437245	down
RED1	-4.41E-05	0.839138822	0.373546867	0.000206397	-0.000574691	0.00048643	up
YOR105W	-4.39E-05	0.669969744	0.324285719	9.70E-05	-0.000293092	0.000205377	up
RKM2	-4.34E-05	0.874154808	0.382683738	0.000260368	-0.000712695	0.0006259	down
KAP114	-4.33E-05	0.878893532	0.383932671	0.000269973	-0.000737275	0.000650702	down
YML002W	-4.31E-05	0.899316239	0.388871458	0.000323938	-0.00087582	0.000789597	up
YMR259C	-4.25E-05	0.848048435	0.376005423	0.00021045	-0.00058344	0.000498515	down
SPO71	-4.24E-05	0.958764882	0.404709408	0.000780224	-0.002048031	0.001963228	down
KAR4	-4.22E-05	0.817484068	0.368368178	0.000173391	-0.000487892	0.000403541	down
PDE1	-4.18E-05	0.944444843	0.401008372	0.000570154	-0.001507392	0.001423861	up
YOL013W-A	-4.17E-05	0.79622165	0.361591996	0.000153011	-0.000435004	0.00035165	down
RBG2	-4.14E-05	0.858814587	0.378159808	0.000221116	-0.000609805	0.00052699	up
KEL2	-4.05E-05	0.820274039	0.369135624	0.000169275	-0.000475665	0.000394604	up
HSL1	-4.02E-05	0.907211653	0.390974906	0.000327973	-0.000883285	0.000802877	down
KIP3	-4.02E-05	0.936530876	0.399313343	0.000479779	-0.001273475	0.001193145	up
TOS3	-4.01E-05	0.895657452	0.387631148	0.00029066	-0.000787265	0.000707067	up
MSB1	-4.00E-05	0.975536638	0.408145753	0.001241219	-0.003230658	0.003150652	up
POR2	-3.92E-05	0.924401029	0.396080104	0.000393146	-0.001049839	0.000971388	up
YER186C	-3.91E-05	0.875708527	0.383024027	0.000237347	-0.000649186	0.000571053	down
YBR277C	-3.90E-05	0.915778113	0.393522774	0.000351021	-0.000941365	0.000863292	down
VIP1	-3.87E-05	0.889138133	0.386378113	0.000263805	-0.000716819	0.000639445	down
HLJ1	-3.83E-05	0.863992582	0.379609038	0.000212474	-0.000584492	0.000507872	up
YIL166C	-3.72E-05	0.884196566	0.38512944	0.000242809	-0.00066137	0.00058695	down
YCF1	-3.69E-05	0.875155078	0.382910714	0.000223303	-0.00061094	0.000537099	down
FCY2	-3.67E-05	0.932555191	0.398422426	0.000412775	-0.001097798	0.001024344	up
HXT2	-3.66E-05	0.992362986	0.411613049	0.003635327	-0.009381473	0.009308335	up
SLY41	-3.60E-05	0.867076486	0.380548491	0.000204387	-0.000561401	0.000489388	down
OAF1	-3.46E-05	0.944178696	0.401005282	0.000469694	-0.00124196	0.001172816	up
YER066W	-3.44E-05	0.911740636	0.392313622	0.000294899	-0.000792436	0.000723686	up
FRE1	-3.38E-05	0.726045677	0.341363381	9.11E-05	-0.000267907	0.000200376	down
YLR050C	-3.31E-05	0.910706287	0.392121001	0.000280655	-0.000754547	0.000688346	up
INP1	-3.28E-05	0.85807279	0.378142043	0.000174328	-0.000480943	0.000415304	down
SFK1	-3.15E-05	0.926081826	0.396498713	0.000323057	-0.000861958	0.000798932	up
SPS100	-3.09E-05	0.851977213	0.376798389	0.000157214	-0.00043502	0.000373244	down
MSH3	-3.07E-05	0.987582368	0.410811573	0.001875842	-0.004852688	0.004791323	down
YDL177C	-2.94E-05	0.889446846	0.386452646	0.000200938	-0.000545913	0.000487143	down
PPH21	-2.90E-05	0.977677555	0.408490599	0.000985532	-0.002562371	0.002504408	down
YBR139W	-2.89E-05	0.786807716	0.358962326	0.000101152	-0.000288886	0.000231155	up
PHB2	-2.88E-05	0.984768053	0.410457382	0.001434358	-0.003715914	0.003658355	up
SAS2	-2.87E-05	0.955425918	0.403723488	0.000488873	-0.00128541	0.001227966	up
YLR279W	-2.85E-05	0.967320418	0.406758286	0.000661796	-0.001729697	0.001672703	up
YHR139C-A	-2.83E-05	0.946141957	0.401374844	0.00039834	-0.001052251	0.000995679	up
YGR127W	-2.77E-05	0.914774402	0.393211438	0.000246355	-0.000661001	0.000605552	up
YML050W	-2.74E-05	0.858976607	0.378172033	0.000146636	-0.000404368	0.000349512	up
TCO89	-2.56E-05	0.946665833	0.401374844	0.000364546	-0.000962728	0.00091146	up
PDR10	-2.55E-05	0.943548287	0.400876148	0.000342399	-0.000905652	0.000854677	up
YJL064W	-2.54E-05	0.966481277	0.40650459	0.000575952	-0.00150597	0.001455094	down
HXT8	-2.53E-05	0.906118399	0.390648024	0.000204022	-0.00054976	0.000499148	up
YKL177W	-2.52E-05	0.881214494	0.384715408	0.000160213	-0.00043703	0.000386649	down
QDR3	-2.50E-05	0.899845848	0.388871458	0.00018859	-0.000509752	0.000459821	up
DAL1	-2.48E-05	0.967373262	0.406758286	0.000576629	-0.001507063	0.001457484	up
YCL013W_d	-2.46E-05	0.948032316	0.401744343	0.000359238	-0.000948063	0.000898837	up
YNL274C	-2.46E-05	0.891629452	0.386886004	0.000171682	-0.00046593	0.000416717	down
YBL086C	-2.45E-05	0.835229096	0.372449098	0.000111637	-0.000311433	0.000262512	down
YEL068C	-2.43E-05	0.909451193	0.391760249	0.000203279	-0.000546858	0.000498231	down
RAD54	-2.31E-05	0.934413822	0.398853523	0.000266596	-0.000708372	0.000662242	up
IKI3	-2.29E-05	0.945934353	0.401374844	0.000321651	-0.000849759	0.000803901	down
DAP2	-2.16E-05	0.959085845	0.40472359	0.000401247	-0.001053075	0.001009803	up
AHC1	-2.09E-05	0.931852153	0.39824287	0.000232654	-0.000618973	0.000577139	down
SAS2	-1.93E-05	0.886838402	0.385854974	0.000128745	-0.000350226	0.000311675	down
YPR015C	-1.92E-05	0.943137889	0.400876148	0.000255971	-0.000677188	0.000638803	up
HOP1	-1.90E-05	0.900602728	0.389138844	0.000144625	-0.000390769	0.000352769	down
